Case,Kitab,Vol,Pg,Term,Reason,Mentioned?,Contrast,Lenience,Jurist For,Jurist Against,Qiyas Win,Salaf,,,,,,,,
1,1,1,25,i,kq,e,e,l,,,,,,,,,,,,
2,1,1,28,i,p,e,e,s,h,ym,,,,,,,,,,
3,1,1,36,w,ا,i,i,l,,,,,,,,,,,,
4,1,1,56,i,lh,e,n,n,,,,n,,,,,,,,
5,1,1,60,,h,e,e,l,,,,,,,,,,,,
6,1,1,152,i,a,e,i,s,,,,,,,,,,,,
7,1,1,160,i,kn,e,e,l,,,,,,,,,,,,
8,1,1,161,i,k,e,e,l,,,,,,,,,,,,
9,1,1,162,i,a,p,e,s,,,,,,,,,,,,
10,1,1,182,i,m,n,e,l,h,ym,,,,,,,,,,
11,1,1,185,i,kqخ,e,i,s,,,,,,,,,,,,
12,1,1,186,i,m,i,i,l,,,,,,,,,,,,
13,1,1,194,i,gp,i,i,s,,,,,,,,,,,,
14,1,1,202,i,ap,i,e,s,,,,,,,,,,,,
15,1,1,213,v,ap,p,i,s,,,,,,,,,,,,
16,1,1,228,v,a,i,i,s,,,,,,,,,,,,
17,1,1,238,i,a,i,e,s,,,,,,,,,,,,
18,1,1,247,i,qkخ,e,i,s,,,,,,,,,,,,
19,1,1,248,a,e,i,e,l,hym,,,,,,,,,,,
20,1,1,275,b,a,i,e,s,,,y,,,,,,,,,
21,1,1,283,i,l,e,n,n,,,,,,,,,,,,
22,1,1,284,i,l,e,n,n,,,,,,,,,,,,
23,1,1,307,i,g,i,e,n,,,,,,,,,,,,
24,1,1,343,v,ب,i,i,n,,,,,,,,,,,,
25,1,1,355,i,a,i,e,s,,,,,,,,,,,,
26,2,2,38,w,kت,e,i,n,,,,,,,,,,,,
27,2,2,47,e,k,e,i,n,,,,,,,,,,,,
28,3,2,62,i,ج,i,i,s,,,,,,,,,,,,
29,3,2,116,i,m,n,e,n,y,hm,,,,,,,,,,
30,5,2,161,i,y,p,e,l,,,,,,,,,,,,
31,5,2,166,i,k,e,i,n,,,,,,,,,,,,
32,5,2,186,v,j,e,e,l,,,,,,,,,,,,
33,5,2,186,i,ب,p,e,l,ym,h,,,,,,,,,,
34,7,2,231,k,f,i,e,n,,,,,,,,,,,,
35,8,2,266,v,p,e,i,n,,,,,,,,,,,,
36,9,2,278,w,c,p,e,s,h,ym,,l,,,,,,,,
37,9,2,358,i,l,p,n,n,,,,,,,,,,,,
38,9,2,362,b,x,i,e,n,,,,,,,,,,,,
39,9,2,364,i,k,e,e,l,,,,,,,,,,,,
40,9,2,365,i,k,e,e,s,,,,,,,,,,,,
41,9,2,365,a,k,i,e,l,,,,,,,,,,,,
42,10,2,380,k,vد,i,i,l,hym,,,,,,,,,,,
43,10,2,390,w,u,i,e,l,,,,,,,,,,,,
44,10,2,391,b,k,n,e,n,,,y,,,,,,,,,
45,10,2,393,a,x,e,e,n,,,,,,,,,,,,
46,10,2,400,w,k,e,e,s,,,,,,,,,,,,
47,10,2,420,i,@,e,i,l,hy,m,,,,,,,,,,
48,10,2,423,i,ث,i,e,s,y,hm,,,,,,,,,,
49,10,2,440,i,m,n,i,n,,,,,,,,,,,,
50,10,2,441,i,ج,i,i,l,,,,,,,,,,,,
51,10,2,447,a,h,e,e,n,hy,m,,,,,,,,,,
52,10,2,453,i,f,i,e,l,,,,,,,,,,,,
53,10,2,465,i,ب,p,i,l,,,,,,,,,,,,
54,10,2,466,i,m,n,e,n,,,,,,,,,,,,
55,10,2,471,a,س,e,e,s,,,,,,,,,,,,
56,10,2,491,b,tj,p,e,l,,,,,,,,,,,,
57,10,2,491,i,tj,p,e,l,,,,,,,,,,,,
58,10,2,492,i,ks,e,e,n,,,,,,,,,,,,
59,10,2,504,i,h,e,e,l,,,,p,,,,,,,,
60,10,2,506,i,ح,e,e,s,,,,,,,,,,,,
61,10,2,513,i,iخ,p,e,n,,,,,,,,,,,,
62,10,2,515,i,h,e,e,l,,,,o,,,,,,,,
63,10,2,526,i,ن,i,e,l,,,,,,,,,,,,
64,10,2,526,i,ن,i,e,l,,,,,,,,,,,,
65,10,2,526,i,نs,i,e,l,,,,,,,,,,,,
66,10,2,531,w,t,i,e,l,,,,,,,,,,,,
67,10,2,543,i,س,e,e,s,,,,,,,,,,,,
68,10,2,544,i,p,i,e,s,,,,,,,,,,,,
69,10,2,558,i,t,e,e,n,h,ym,,,,,,,,,,
70,11,2,603,i,ح,e,i,l,h,,,,,,,,,,,
71,11,3,17,i,#ح,i,i,s,y,,,,,,,,,,,
72,11,3,63,i,k,i,i,l,,,,,,,,,,,,
73,11,3,85,i,#,i,e,n,,,,,,,,,,,,
74,11,3,123,d,v,e,e,n,,,,,,,,,,,,
75,11,3,124,i,v,e,e,n,,,,,,,,,,,,
