,Count,%,Code,,Reasons and Contrast,Explicit,Implicit,None,,,Proof (1 is Good),,,,,,,,,,
Explicit,313,68.0%,e,,a,8,4,0,,,0,,,,,,,,,,
Implicit,125,27.2%,i,,b,0,3,0,,,,,,,,,,,,,
None,22,4.8%,n,,c,11,4,1,,,,,,,,,,,,,
,460,,,,d,4,1,0,,,,,,,,,,,,,
,,,,,e,1,0,0,,,,,,,,,,,,,
,,,,,f,15,12,0,,,,,,,,,,,,,
,,,,,g,2,3,0,,,,,,,,,,,,,
,,,,,h,11,5,1,,,,,,,,,,,,,
,,,,,i,5,4,0,,,,,,,,,,,,,
,,,,,j,8,2,0,,,,,,,,,,,,,
,,,,,k,59,20,3,,,,,,,,,,,,,
,,,,,l,1,1,10,,,,,,,,,,,,,
,,,,,m,20,6,1,,,,,,,,,,,,,
,,,,,n,6,7,0,,,,,,,,,,,,,
,,,,,o,3,3,0,,,,,,,,,,,,,
,,,,,p,7,3,1,,,,,,,,,,,,,
,,,,,q,8,5,1,,,,,,,,,,,,,
,,,,,r,18,4,2,,,,,,,,,,,,,
,,,,,s,9,5,3,,,,,,,,,,,,,
,,,,,t,10,2,0,,,,,,,,,,,,,
,,,,,u,10,4,0,,,,,,,,,,,,,
,,,,,v,2,2,0,,,,,,,,,,,,,
,,,,,x,29,4,0,,,,,,,,,,,,,
,,,,,y,8,1,0,,,,,,,,,,,,,
,,,,,z,5,3,0,,,,,,,,,,,,,
,,,,,ا,1,1,0,,,,,,,,,,,,,
,,,,,ب,3,4,0,,,,,,,,,,,,,
,,,,,ق,0,2,0,,,,,,,,,,,,,
,,,,,م ,2,2,0,,,,,,,,,,,,,
,,,,,ن,14,3,0,,,,,,,,,,,,,
,,,,,ت,3,1,0,,,,,,,,,,,,,
